ID,Lote,Instalação,Zona,Bairro,Latitude,Longitude,Local,Praça,Endereço,Estado,Cidade,País,Country,Capacidade (em usuários),Google Maps,Controle de Qualidade
17,LOTE1,12/12/2014,CENTRO,Sé,-23.538948,-46.6496885,Santa Cecília,LARGO SANTA CECILIA,Largo Santa Cecília,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/NTyDy,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f60c
50,LOTE2,09/12/2014,ZONA LESTE,Penha,-23.5366955,-46.5258377,Vila Matilde,PRAÇA DA CONQUISTA (PRAÇA VEREADOR JOÃO APARECIDO DE PAULA),Rua Dona Matilde  479  Vila Matilde  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/I0GVM,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f39a
25,LOTE2,29/08/2014,ZONA LESTE,Mooca,-23.5312773,-46.6027808,Belém,PRAÇA GENERAL HUMBERTO DE SOUSA MELLO,Rua Marcos Arruda  782,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/EKYbg,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e5cc
43,LOTE2,12/12/2014,ZONA LESTE,Itaquera,-23.5375969,-46.454965,Itaquera,PRAÇA NA RUA GREGÓRIO RAMALHO,Rua Gregório Ramalho  239  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/vcbJy,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358d9f6
42,LOTE2,08/12/2014,ZONA LESTE,Itaquera,-23.5357169,-46.4679491,Cidade Líder,PRAÇA PROFESSORAS (NA AV. DAS ALAMANDAS),Avenida das Alamandas  12  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/foQe2,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e03c
67,LOTE3,01/12/2015,ZONA NORTE,Perus,-23.428841,-46.7947174,Anhanguera,PRAÇA DA CULTURA,Rua Alberto Gentili  431  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/ZrTiR,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68908F8
70,LOTE3,29/01/2015,ZONA NORTE,Pirituba,-23.4769068,-46.7218404,Pirituba,PRAÇA JOÃO BOLDO,Rua Comendador Feiz Zarzur  146  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/wsFZP,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890900
62,LOTE3,27/08/2014,ZONA NORTE,Casa Verde/Cachoeirinha,-23.5056918,-46.6729879,Limão,PRAÇA MARCO ANTONIO PRIMON MAESTRE,Praça Marco Antônio Primon Maestre - Limão  São Paulo - SP  02710-030  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/6sCic,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954F77
66,LOTE3,24/06/2014,ZONA NORTE,Jaçanã/Tremembé,-23.4593185,-46.6237557,Tremembé,PRAÇA MARIQUINHA SCIASCIA,Praça Dona Mariquinha Sciascia  Tremembé  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/2gMFN,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e65e
75,LOTE3,26/06/2014,ZONA NORTE,Vila Maria/Vila Guilherme,-23.5075227,-46.6010998,Vila Guilherme,PRAÇA OSCAR DA SILVA,Praça Oscar da Silva - Vila Guilherme  São Paulo - SP  02067-070  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/OhIni,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E51
68,LOTE3,29/08/2014,ZONA NORTE,Perus,-23.4094194,-46.7578096,Perus,PRAÇA VIGÁRIO JOÃO G. DE LIMA (PRAÇA DO SAMBA),Praça Vigário João Gonçalves de Lima  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/z0SlV,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D689080E
86,LOTE4,30/06/2014,ZONA OESTE,Butantã,-23.5893879,-46.7013233,Morumbi,PARQUE ALFREDO VOLPI,Av. Eng. Oscar Americano  480 - Morumbi  São Paulo  05673-050,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/obxjS,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68908FE
87,LOTE4,16/12/2014,ZONA OESTE,Butantã,-23.5884629,-46.7558639,Raposo Tavares,PARQUE RAPOSO TAVARES,Parque Raposo Tavares - São Paulo - SP  Brasil ?,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/UuzNv,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E02
82,LOTE0,10/01/2014,ZONA OESTE,Lapa,-23.5253919,-46.6897256,Lapa,PRAÇA CORNÉLIA,R. Crasso  289 - Lapa São Paulo  05043-010,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/ZRZCE,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E44
85,LOTE4,16/07/2014,ZONA OESTE,Butantã,-23.576291,-46.73152,Butantã,PRAÇA ELIS REGINA,Praça Elis Regina,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/DB97Z,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6955004
81,LOTE0,08/04/2014,ZONA OESTE,Lapa,-23.546752,-46.748761,Jaguaré,PRAÇA GEN. PORTO CARREIRO,Praça General Porto Carreiro - Jaguare  São Paulo - SP  05331-040  Brasil ?,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/jwLcO,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FF1EC
88,LOTE4,16/12/2014,ZONA OESTE,Butantã,-23.5736076,-46.7607585,Rio Pequeno,PRAÇA WILSON MOREIRA DA COSTA,R. Mílton Soares  66 - Rio Pequeno São Paulo  05382-010,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/Ze0Se,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D6954F4F
96,LOTE0,17/09/2014,ZONA SUL,Vila Mariana,-23.5659278,-46.6395987,Vila Mariana,LARGO DONA ANA ROSA,Rua Vergueiro  2.100  São Paulo  04106-090,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/x7LHC,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68B37C5
107,LOTE0,12/08/2014,ZONA SUL,Ipiranga,-23.633802,-46.613742,Cursino,LARGO SANTA ANGELA,R. Sebastiano Mazzoni  193 - Vila Brasilina  Cursino São Paulo  04171-000,SP,São Paulo,Brasil,Brazil,75,https://goo.gl/maps/VNrI2,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FF1C4
104,LOTE0,13/11/2014,ZONA SUL,Capela do Socorro,-23.696913,-46.715033,Socorro,PRAIA DO SOL,Av. Atlântica 3456,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/0IdfK,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D6954E4C
110,LOTE0,29/05/2014,ZONA SUL,Jabaquara,-23.638043,-46.642778,Jabaquara,PRAÇA ALFREDO EGYDIO DE SOUZA ARANHA (PARQUE LINA E PAULO RAIA),Praça Alfredo Egydio de Souza Aranha,SP,São Paulo,Brasil,Brazil,75,https://goo.gl/maps/sfKiH,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E50
105,LOTE0,09/09/2014,ZONA SUL,Cidade Ademar,-23.680806,-46.638981,Cidade Ademar,PRAÇA BACHAREL FERNANDO BRAGA PEREIRA DA ROCHA,Praça Bacharel Fernando Braga Pereira da Rocha  04417-090 - Jardim Miriam  São Paulo,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/YGttf,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FF1C5
