N,Lote,Instalação,Zona,Bairro,Latitude,Longitude,Local,Praça,Endereço,Estado,Cidade,País,Country,Capacidade (em usuários),Google Maps,Controle de Qualidade
82,LOTE0,10/01/2014,ZONA OESTE,Lapa,-23.5253919,-46.6897256,Lapa,PRAÇA CORNÉLIA,R. Crasso  289 - Lapa São Paulo  05043-010,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/ZRZCE,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E44
18,LOTE1,10/01/2014,CENTRO,Sé,-23.5439246,-46.634179,Largo São Bento,LARGO SÃO BENTO,Largo São Bento,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/GIMhp,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f092
13,LOTE1,10/01/2014,CENTRO,Sé,-23.5502757,-46.6393536,República,PRAÇA DA BANDEIRA,Praça da Bandeira,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/yNdnb,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f106
23,LOTE1,12/01/2014,CENTRO,Sé,-23.5516833,-46.6349531,Praça da Sé,PRAÇA DA SÉ,Praça da Sé,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/RPwxN,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ee3c
30,LOTE2,12/02/2014,ZONA LESTE,Aricanduva/Formosa/Carrão,-23.5648793,-46.5127128,Aricanduva,PRAÇA SÃO JOÃO VICENZOTTO,Praça São João Vicenzotto,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/srAFg,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f59e
52,LOTE2,12/02/2014,ZONA LESTE,São Mateus,-23.612283,-46.475584,São Mateus,PRAÇA FELISBERTO FERNANDES DA SILVA / LARGO SÃO MATEUS,Rua Manuel André  88  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/NJfnv,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358faac
73,LOTE3,07/03/2014,ZONA NORTE,Santana/Tucuruvi,-23.493981,-46.613976,Santana,PARQUE DOMINGOS LUÍS,Parque Domingos Luis  São Paulo  SP  Brasil,SP,São Paulo,Brasil,Brazil,125,http://goo.gl/maps/S1OCY,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D689091D
79,LOTE0,09/03/2014,ZONA OESTE,Lapa,-23.5265451,-46.6775602,Barra Funda,PRAÇA CONDE FRANCISCO MATARAZZO,Praça Conde Francisco Matarazzo Junior  Água Branca  São Paulo - SP  Brasil ?,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/fMhxt,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890046
95,LOTE0,11/03/2014,ZONA SUL,Vila Mariana,-23.606806,-46.640722,Saúde,PRAÇA SANTA RITA DE CÁSSIA,Praça Santa Rita de Cássia  Mirandópolis  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/14dSP,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D68902BA
114,LOTE0,11/03/2014,ZONA SUL,M'Boi Mirim,-23.652571,-46.738185,Jardim São Luís,PRAÇA DO FEIRÃO SÃO LUIS,R. Arraial dos Couros  14 - Jardim São Luís São Paulo  05843-140,SP,São Paulo,Brasil,Brazil,75,https://goo.gl/maps/cEAYL,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890137
55,LOTE2,07/04/2014,ZONA LESTE,São Miguel,-23.4919791,-46.4458079,São Miguel,PRAÇA PADRE ALEIXO (DO FORRÓ),Praça Padre Aleixo Monteiro Mafra  São Miguel Paulista  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/O4uz1,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e9ce
81,LOTE0,08/04/2014,ZONA OESTE,Lapa,-23.546752,-46.748761,Jaguaré,PRAÇA GEN. PORTO CARREIRO,Praça General Porto Carreiro - Jaguare  São Paulo - SP  05331-040  Brasil ?,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/jwLcO,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FF1EC
102,LOTE0,11/04/2014,ZONA SUL,Capela do Socorro,-23.735407,-46.6920257,Grajaú,CALÇADÃO CULTURAL DO GRAJAÚ,Rua Professor Oscar Barreto Filho  252  Parque América  SP  Brasil,SP,São Paulo,Brasil,Brazil,150,https://goo.gl/maps/lGrTP,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890140
92,LOTE4,25/04/2014,ZONA OESTE,Pinheiros,-23.5591758,-46.680409,Jardim Paulista,PRAÇA BENEDITO CALIXTO,R. Teodoro Sampaio  1118 - Jardim Paulista São Paulo  05406-050,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/GKMoi,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D64D42C2
19,LOTE1,03/05/2014,CENTRO,Sé,-23.5483793,-46.6327699,Páteo do Colégio,PÁTEO DO COLÉGIO,Páteo do Colégio,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/16dGp,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391b7c
47,LOTE2,03/05/2014,ZONA LESTE,Penha,-23.546158,-46.4827062,Artur Alvim,PRAÇA DILVA GOMES MARTINS (COHAB 1),Rua Padre Manuel Barreto  68  COHAB Padre Manoel da Nóbrega  São Paulo - SP  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/dqDD6,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f2ac
22,LOTE1,03/05/2014,CENTRO,Sé,-23.5424498,-46.6303289,Mercado Municipal,MERCADO MUNICIPAL,Rua da Cantareira  206,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/DPfbG,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f446
