ID,Lote,Instalação,Zona,Bairro,Latitude,Longitude,Local,Praça,Endereço,Estado,Cidade,País,Country,Capacidade (em usuários),Google Maps,Controle de Qualidade
11,LOTE1,18/06/2014,CENTRO,Sé,-23.5659755,-46.6396097,Paraíso,CENTRO CULTURAL SÃO PAULO,Rua Vergueiro  1000,SP,São Paulo,Brasil,Brazil,250,https://www.google.com.br/maps/preview?ie=UTF-8&q=Centro+Cultural+S%C3%A3o+Paulo&fb=1&gl=br&hq=Centro+Cultural+S%C3%A3o+Paulo&hnear=Centro+Cultural+S%C3%A3o+Paulo&cid=16463875656597355099&ei=MyZtU_ysNsLgsASe8oLACQ&ved=0CKMBEPwSMBE,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e654
10,LOTE1,09/12/2014,CENTRO,Sé,-23.5414878,-46.6469944,República,LARGO DO AROUCHE,Largo do Arouche,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/OzALP,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e55e
﻿1,LOTE1,19/12/2014,CENTRO,Sé,-23.5616596,-46.6578237,Bela Vista,MASP,R. Peixoto Gomide  949,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/W4kDo,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3590108
22,LOTE1,03/05/2014,CENTRO,Sé,-23.5424498,-46.6303289,Mercado Municipal,MERCADO MUNICIPAL,Rua da Cantareira  206,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/DPfbG,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f446
3,LOTE1,02/09/2015,CENTRO,Sé,-23.5333321,-46.6351557,Bom Retiro,PARQUE DA LUZ,Praça da Luz  s/n,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/1VJXs,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391bea
21,LOTE1,17/09/2014,CENTRO,Sé,-23.549865,-46.625393,Parque Dom Pedro II,PARQUE DOM PEDRO II,Parque Dom Pedro II,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/Wjlhq,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e5a4
9,LOTE1,17/09/2014,CENTRO,Sé,-23.5550055,-46.635347,Liberdade,PRAÇA DA LIBERDADE,Praça da Liberdade,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/9gxN8,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ec12
15,LOTE1,12/08/2014,CENTRO,Sé,-23.5436065,-46.6418541,República,PRAÇA DA REPÚBLICA,Praça da República,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/tMD1R,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358dc14
7,LOTE1,27/06/2014,CENTRO,Sé,-23.5484314,-46.6462197,Consolação,PRAÇA ROOSEVELT,Praça Roosevelt,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/Psmxm,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3591742
78,LOTE3,26/02/2015,ZONA NORTE,Sé,-23.5213307,-46.6304911,Bom Retiro,PARQUE TIETÊ,Av. santos dumont 843 - Bom Retiro,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/wD7mvV,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D69554AD
92,LOTE4,25/04/2014,ZONA OESTE,Pinheiros,-23.5591758,-46.680409,Jardim Paulista,PRAÇA BENEDITO CALIXTO,R. Teodoro Sampaio  1118 - Jardim Paulista São Paulo  05406-050,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/GKMoi,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D64D42C2
121,LOTE1,12/12/2014,ZONA SUL,Ipiranga,-23.586153,-46.609621,Ipiranga,PARQUE DA INDEPENDÊNCIA,Av. Nazareth  s/nº - Ipiranga,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/V8X8l,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f512
